"GEOID","NAME","variable","estimate","moe","source","year","quintile","county","county_short","acs_release","pce_estimate","cty_rate","eff_rate","pop_est","incidence_avg","est_PCE_cty_agg","est_taxable_spend","est_tax_rev","taxable_trans_total","percap_taxable_total","est_tax_spend_trans","est_tax_rev_trans"
"06001","Alameda County, California","B19013_001",61014,1433,"ACS",2005,"q4","Alameda","Alameda",NA,0.146867039739122,0.0911403072006907,0.0725,1462736,0.259,89247374304,13107497668.5178,1194621364.14105,NA,NA,NA,NA
"06007","Butte County, California","B19013_001",36602,2193,"ACS",2005,"q1","Butte","Butte",NA,0.172474145619455,0.0752269202291416,0.0725,212955,0.293,7794578910,1344363337.96567,101132313.584126,NA,NA,NA,NA
"06013","Contra Costa County, California","B19013_001",69487,1826,"ACS",2005,"q5","Contra Costa","Contra Costa",NA,0.197297384592955,0.0820262764806217,0.0725,1001216,0.342,69571496192,13726274240.9004,1125915165.93293,NA,NA,NA,NA
"06017","El Dorado County, California","B19013_001",63147,2915,"ACS",2005,"q5","El Dorado","El Dorado",NA,0.197297384592955,0.0700189026748164,0.0725,171739,0.342,10844802633,2139651195.9177,149816028.845016,NA,NA,NA,NA
"06019","Fresno County, California","B19013_001",41899,1550,"ACS",2005,"q2","Fresno","Fresno",NA,0.0994218826767684,0.0754077541720001,0.0725,866058,0.18,36286964142,3607718291.62203,272049934.056462,NA,NA,NA,NA
"06023","Humboldt County, California","B19013_001",33093,4256,"ACS",2005,"q1","Humboldt","Humboldt",NA,0.172474145619455,0.0835452816006332,0.0725,131467,0.293,4350637431,750372473.811745,62690079.629966,NA,NA,NA,NA
"06025","Imperial County, California","B19013_001",35533,2563,"ACS",2005,"q1","Imperial","Imperial",NA,0.172474145619455,0.0696572347890994,0.0725,155793,0.293,5535792669,954781110.912216,66507412.0150094,NA,NA,NA,NA
"06029","Kern County, California","B19013_001",40224,1244,"ACS",2005,"q1","Kern","Kern",NA,0.172474145619455,0.0712485734862543,0.0725,750969,0.293,30206977056,5209922559.48007,371199550.33681,NA,NA,NA,NA
"06031","Kings County, California","B19013_001",41095,4194,"ACS",2005,"q2","Kings","Kings",NA,0.0994218826767684,0.0694402340576692,0.0725,143607,0.18,5901529665,586741189.967098,40743445.5625906,NA,NA,NA,NA
"06033","Lake County, California","B19013_001",40067,7917,"ACS",2005,"q1","Lake","Lake",NA,0.172474145619455,0.0717549085262581,0.0725,62870,0.293,2519012290,434464492.522656,31174959.9188704,NA,NA,NA,NA
"06037","Los Angeles County, California","B19013_001",48248,667,"ACS",2005,"q2","Los Angeles","Los Angeles",NA,0.0994218826767684,0.0893457842980768,0.0725,9816153,0.18,473609749944,47087172993.506,4207040401.48401,NA,NA,NA,NA
"06039","Madera County, California","B19013_001",46787,2830,"ACS",2005,"q2","Madera","Madera",NA,0.0994218826767684,0.0717549085262581,0.0725,138174,0.18,6464746938,642737311.604834,46119557.0006179,NA,NA,NA,NA
"06041","Marin County, California","B19013_001",78919,3518,"ACS",2005,"q5","Marin","Marin",NA,0.197297384592955,0.0771075932348701,0.0725,246688,0.342,19468370272,3841058536.95284,296174779.258685,NA,NA,NA,NA
"06045","Mendocino County, California","B19013_001",41734,3579,"ACS",2005,"q2","Mendocino","Mendocino",NA,0.0994218826767684,0.0772522603891569,0.0725,88129,0.18,3677975686,365671267.141499,28248931.946048,NA,NA,NA,NA
"06047","Merced County, California","B19013_001",40281,2560,"ACS",2005,"q1","Merced","Merced",NA,0.172474145619455,0.0729122457605526,0.0725,238069,0.293,9589657389,1653967964.95107,120594518.740593,NA,NA,NA,NA
"06053","Monterey County, California","B19013_001",57081,2664,"ACS",2005,"q4","Monterey","Monterey",NA,0.146867039739122,0.0798562691663195,0.0725,409557,0.259,23377923117,3433446363.44257,274182216.967191,NA,NA,NA,NA
"06055","Napa County, California","B19013_001",65260,3700,"ACS",2005,"q5","Napa","Napa",NA,0.197297384592955,0.0697295683662428,0.0725,130472,0.342,8514602720,1679908847.50406,117139318.831091,NA,NA,NA,NA
"06057","Nevada County, California","B19013_001",51615,3208,"ACS",2005,"q3","Nevada","Nevada",NA,0.11216942035116,0.0744312508805641,0.0725,97454,0.2,5030088210,564222078.830906,41995755.1018165,NA,NA,NA,NA
"06059","Orange County, California","B19013_001",65953,1107,"ACS",2005,"q5","Orange","Orange",NA,0.197297384592955,0.0709282390731906,0.0725,2956847,0.342,195012930191,38475541088.4929,2729002376.79499,NA,NA,NA,NA
"06061","Placer County, California","B19013_001",62080,2775,"ACS",2005,"q4","Placer","Placer",NA,0.146867039739122,0.0636122144135433,0.0725,307710,0.259,19102636800,2805547718.02761,178467102.986599,NA,NA,NA,NA
"06065","Riverside County, California","B19013_001",52253,1137,"ACS",2005,"q3","Riverside","Riverside",NA,0.11216942035116,0.0736904552801644,0.0725,1895695,0.2,99055750835,11111026153.6109,818776575.889402,NA,NA,NA,NA
"06067","Sacramento County, California","B19013_001",51793,860,"ACS",2005,"q3","Sacramento","Sacramento",NA,0.11216942035116,0.0736717483205584,0.0725,1350523,0.2,69947637739,7845985980.11658,578027504.453778,NA,NA,NA,NA
"06071","San Bernardino County, California","B19013_001",49026,1419,"ACS",2005,"q2","San Bernardino","San Bernardino",NA,0.0994218826767684,0.0719400824837452,0.0725,1921423,0.18,94199683998,9365509930.63781,673755556.912419,NA,NA,NA,NA
"06073","San Diego County, California","B19013_001",56335,810,"ACS",2005,"q4","San Diego","San Diego",NA,0.146867039739122,0.0722269802928782,0.0725,2966783,0.259,167133720305,24546434741.7817,1772914858.35509,NA,NA,NA,NA
"06075","San Francisco County, California","B19013_001",57496,1917,"ACS",2005,"q4","San Francisco","San Francisco",NA,0.146867039739122,0.0746482516119943,0.0725,780187,0.259,44857631752,6588107585.12387,491790712.661215,NA,NA,NA,NA
"06077","San Joaquin County, California","B19013_001",49391,1988,"ACS",2005,"q3","San Joaquin","San Joaquin",NA,0.11216942035116,0.0727193562215035,0.0725,645059,0.2,31860109069,3573729966.59448,259879342.480246,NA,NA,NA,NA
"06079","San Luis Obispo County, California","B19013_001",49721,2252,"ACS",2005,"q3","San Luis Obispo","San Luis Obispo",NA,0.11216942035116,0.0739972494177037,0.0725,259213,0.2,12888329573,1445676457.49813,106976081.402791,NA,NA,NA,NA
"06081","San Mateo County, California","B19013_001",74546,2425,"ACS",2005,"q5","San Mateo","San Mateo",NA,0.197297384592955,0.0838242825410435,0.0725,700350,0.342,52208291100,10300559288.0977,863436992.096269,NA,NA,NA,NA
"06083","Santa Barbara County, California","B19013_001",55970,2598,"ACS",2005,"q3","Santa Barbara","Santa Barbara",NA,0.11216942035116,0.075130475459617,0.0725,411440,0.2,23028296800,2583070703.73048,194067330.117078,NA,NA,NA,NA
"06085","Santa Clara County, California","B19013_001",76810,2006,"ACS",2005,"q5","Santa Clara","Santa Clara",NA,0.197297384592955,0.0798562691663195,0.0725,1698234,0.342,130441353540,25735737896.207,2055160012.63336,NA,NA,NA,NA
"06087","Santa Cruz County, California","B19013_001",58640,4223,"ACS",2005,"q4","Santa Cruz","Santa Cruz",NA,0.146867039739122,0.0836754820394913,0.0725,254783,0.259,14940475120,2194263353.1704,183606043.798124,NA,NA,NA,NA
"06089","Shasta County, California","B19013_001",42227,2389,"ACS",2005,"q2","Shasta","Shasta",NA,0.0994218826767684,0.0637982150404835,0.0725,173862,0.18,7341670674,729922720.401899,46567766.6791351,NA,NA,NA,NA
"06095","Solano County, California","B19013_001",62213,2561,"ACS",2005,"q4","Solano","Solano",NA,0.146867039739122,0.075299253806285,0.0725,410985,0.259,25568609805,3755186032.30503,282762706.136353,NA,NA,NA,NA
"06097","Sonoma County, California","B19013_001",58330,2376,"ACS",2005,"q4","Sonoma","Sonoma",NA,0.146867039739122,0.0861926905240818,0.0725,469734,0.259,27399584220,4024095824.47415,346847646.03815,NA,NA,NA,NA
"06099","Stanislaus County, California","B19013_001",47525,2481,"ACS",2005,"q2","Stanislaus","Stanislaus",NA,0.0994218826767684,0.0709158390313946,0.0725,494144,0.18,23484193600,2334842740.85772,165577331.974286,NA,NA,NA,NA
"06101","Sutter County, California","B19013_001",49913,6408,"ACS",2005,"q3","Sutter","Sutter",NA,0.11216942035116,0.0624962106519022,0.0725,87097,0.2,4347272561,487631043.275874,30475092.4009759,NA,NA,NA,NA
"06107","Tulare County, California","B19013_001",38722,2108,"ACS",2005,"q1","Tulare","Tulare",NA,0.172474145619455,0.0747446963815189,0.0725,404148,0.293,15649418856,2699120146.62959,201744915.857069,NA,NA,NA,NA
"06111","Ventura County, California","B19013_001",66859,1934,"ACS",2005,"q5","Ventura","Ventura",NA,0.197297384592955,0.06754640949246,0.0725,795962,0.342,53217223358,10499618983.8325,709211563.396759,NA,NA,NA,NA
"06113","Yolo County, California","B19013_001",50157,2167,"ACS",2005,"q3","Yolo","Yolo",NA,0.11216942035116,0.0729122457605526,0.0725,186530,0.2,9355785210,1049433003.93566,76516517.0921917,NA,NA,NA,NA
"06115","Yuba County, California","B19013_001",37695,5100,"ACS",2005,"q1","Yuba","Yuba",NA,0.172474145619455,0.0700189026748164,0.0725,66478,0.293,2505888210,432200928.037615,30262234.7162311,NA,NA,NA,NA
"06001","Alameda County, California","B19013_001",64424,1488,"ACS",2006,"q4","Alameda","Alameda",NA,0.157180623804294,0.0911403072006907,0.0725,1462371,0.259,94211789304,14808267812.5214,1349630077.5433,NA,NA,NA,NA
"06007","Butte County, California","B19013_001",40897,2193,"ACS",2006,"q1","Butte","Butte",NA,0.184585961879078,0.0752269202291416,0.0725,214690,0.293,8780176930,1620697404.09254,121920074.333246,NA,NA,NA,NA
"06013","Contra Costa County, California","B19013_001",74241,2366,"ACS",2006,"q5","Contra Costa","Contra Costa",NA,0.21115238681437,0.0820262764806217,0.0725,1007169,0.342,74773233729,15788546771.7071,1295075702.72327,NA,NA,NA,NA
"06017","El Dorado County, California","B19013_001",70516,4459,"ACS",2006,"q5","El Dorado","El Dorado",NA,0.21115238681437,0.0700189026748164,0.0725,174218,0.342,12285156488,2594040114.82924,181631842.334798,NA,NA,NA,NA
"06019","Fresno County, California","B19013_001",42732,1245,"ACS",2006,"q2","Fresno","Fresno",NA,0.106403680272239,0.0754077541720001,0.0725,879128,0.18,37566897696,3997256171.26511,301424110.72527,NA,NA,NA,NA
"06023","Humboldt County, California","B19013_001",40749,3012,"ACS",2006,"q1","Humboldt","Humboldt",NA,0.184585961879078,0.0835452816006332,0.0725,131958,0.293,5377156542,992547612.479447,82922669.7866316,NA,NA,NA,NA
"06025","Imperial County, California","B19013_001",37086,2599,"ACS",2006,"q1","Imperial","Imperial",NA,0.184585961879078,0.0696572347890994,0.0725,160088,0.293,5937023568,1095891205.99804,76336751.0395144,NA,NA,NA,NA
"06029","Kern County, California","B19013_001",43106,1970,"ACS",2006,"q2","Kern","Kern",NA,0.106403680272239,0.0712485734862543,0.0725,774062,0.18,33366716572,3550341441.86152,252956763.121765,NA,NA,NA,NA
"06031","Kings County, California","B19013_001",43178,4674,"ACS",2006,"q2","Kings","Kings",NA,0.106403680272239,0.0694402340576692,0.0725,146045,0.18,6305931010,670974267.00684,46592610.147628,NA,NA,NA,NA
"06033","Lake County, California","B19013_001",37628,4540,"ACS",2006,"q1","Lake","Lake",NA,0.184585961879078,0.0717549085262581,0.0725,63449,0.293,2387458972,440691410.793455,31621771.869792,NA,NA,NA,NA
"06037","Los Angeles County, California","B19013_001",51315,398,"ACS",2006,"q3","Los Angeles","Los Angeles",NA,0.120046400430477,0.0893457842980768,0.0725,9798609,0.2,502815620835,60361205361.4576,5393019234.1967,NA,NA,NA,NA
"06039","Madera County, California","B19013_001",39068,2790,"ACS",2006,"q1","Madera","Madera",NA,0.184585961879078,0.0717549085262581,0.0725,141693,0.293,5535662124,1021805517.79612,73319561.4610864,NA,NA,NA,NA
"06041","Marin County, California","B19013_001",81761,3713,"ACS",2006,"q5","Marin","Marin",NA,0.21115238681437,0.0771075932348701,0.0725,246969,0.342,20192432409,4263680298.74818,328762126.159404,NA,NA,NA,NA
"06045","Mendocino County, California","B19013_001",39705,3361,"ACS",2006,"q1","Mendocino","Mendocino",NA,0.184585961879078,0.0772522603891569,0.0725,87802,0.293,3486178410,643499595.091925,49711798.2803584,NA,NA,NA,NA
"06047","Merced County, California","B19013_001",40447,3176,"ACS",2006,"q1","Merced","Merced",NA,0.184585961879078,0.0729122457605526,0.0725,243072,0.293,9831533184,1814763009.51471,132318446.546897,NA,NA,NA,NA
"06053","Monterey County, California","B19013_001",55045,2965,"ACS",2006,"q4","Monterey","Monterey",NA,0.157180623804294,0.0798562691663195,0.0725,406935,0.259,22399737075,3520804646.50067,281158323.532986,NA,NA,NA,NA
"06055","Napa County, California","B19013_001",66645,5087,"ACS",2006,"q4","Napa","Napa",NA,0.157180623804294,0.0697295683662428,0.0725,131330,0.259,8752487850,1375721500.1025,95928466.3943076,NA,NA,NA,NA
"06057","Nevada County, California","B19013_001",50675,3792,"ACS",2006,"q2","Nevada","Nevada",NA,0.106403680272239,0.0744312508805641,0.0725,98068,0.18,4969595900,528783293.225832,39358001.9595428,NA,NA,NA,NA
"06059","Orange County, California","B19013_001",70232,953,"ACS",2006,"q5","Orange","Orange",NA,0.21115238681437,0.0709282390731906,0.0725,2956334,0.342,207629249488,43841411601.8675,3109594123.40341,NA,NA,NA,NA
"06061","Placer County, California","B19013_001",70013,2475,"ACS",2006,"q5","Placer","Placer",NA,0.21115238681437,0.0636122144135433,0.0725,317437,0.342,22224716681,4692801973.46629,298519525.336437,NA,NA,NA,NA
"06065","Riverside County, California","B19013_001",53508,1332,"ACS",2006,"q3","Riverside","Riverside",NA,0.120046400430477,0.0736904552801644,0.0725,1975913,0.2,105727152804,12692164121.8833,935291352.632146,NA,NA,NA,NA
"06067","Sacramento County, California","B19013_001",53930,1549,"ACS",2006,"q3","Sacramento","Sacramento",NA,0.120046400430477,0.0736717483205584,0.0725,1365214,0.2,73625991020,8838535200.07766,651150340.782517,NA,NA,NA,NA
"06071","San Bernardino County, California","B19013_001",52941,1095,"ACS",2006,"q3","San Bernardino","San Bernardino",NA,0.120046400430477,0.0719400824837452,0.0725,1959715,0.2,103749271815,12454726628.6739,895994060.979301,NA,NA,NA,NA
"06073","San Diego County, California","B19013_001",59591,1284,"ACS",2006,"q4","San Diego","San Diego",NA,0.157180623804294,0.0722269802928782,0.0725,2976492,0.259,177372134772,27879462788.9623,2013649409.43441,NA,NA,NA,NA
"06075","San Francisco County, California","B19013_001",65497,2833,"ACS",2006,"q4","San Francisco","San Francisco",NA,0.157180623804294,0.0746482516119943,0.0725,781295,0.259,51172478615,8043322110.3176,600419932.687305,NA,NA,NA,NA
"06077","San Joaquin County, California","B19013_001",51951,1200,"ACS",2006,"q3","San Joaquin","San Joaquin",NA,0.120046400430477,0.0727193562215035,0.0725,656247,0.2,34092687897,4092704463.03456,297618833.756747,NA,NA,NA,NA
"06079","San Luis Obispo County, California","B19013_001",50209,2120,"ACS",2006,"q2","San Luis Obispo","San Luis Obispo",NA,0.106403680272239,0.0739972494177037,0.0725,260873,0.18,13098172457,1393693754.26528,103129504.346264,NA,NA,NA,NA
"06081","San Mateo County, California","B19013_001",77914,2778,"ACS",2006,"q5","San Mateo","San Mateo",NA,0.21115238681437,0.0838242825410435,0.0725,699347,0.342,54488922158,11505465968.6041,964437430.11863,NA,NA,NA,NA
"06083","Santa Barbara County, California","B19013_001",53477,1795,"ACS",2006,"q3","Santa Barbara","Santa Barbara",NA,0.120046400430477,0.075130475459617,0.0725,412271,0.2,22047016267,2646664943.08553,198845195.556316,NA,NA,NA,NA
"06085","Santa Clara County, California","B19013_001",80838,1196,"ACS",2006,"q5","Santa Clara","Santa Clara",NA,0.21115238681437,0.0798562691663195,0.0725,1706676,0.342,137964274488,29131485853.2541,2326331775.51229,NA,NA,NA,NA
"06087","Santa Cruz County, California","B19013_001",62193,3668,"ACS",2006,"q4","Santa Cruz","Santa Cruz",NA,0.157180623804294,0.0836754820394913,0.0725,255107,0.259,15865869651,2493807288.9418,208670527.015802,NA,NA,NA,NA
"06089","Shasta County, California","B19013_001",44120,3058,"ACS",2006,"q2","Shasta","Shasta",NA,0.106403680272239,0.0637982150404835,0.0725,174747,0.18,7709837640,820355099.197437,52337191.0281553,NA,NA,NA,NA
"06095","Solano County, California","B19013_001",61533,1382,"ACS",2006,"q4","Solano","Solano",NA,0.157180623804294,0.075299253806285,0.0725,410964,0.259,25287847812,3974759693.75821,299296438.999291,NA,NA,NA,NA
